8069,6.0695496749,4.39396732227
12085,0,0
12095,21.7305346645,15.9485757235
12095,21.7305346645,15.9485757235
12107,31.636364139,31.237889338
12107,31.636364139,31.237889338
17057,13.92004676,18.2998171
17137,0.708227635,1.0666094
17137,0.708227635,1.0666094
17137,0.708227635,1.0666094
17137,0.708227635,1.0666094
17167,3.5909394392,4.35179659796667
17167,3.5909394392,4.35179659796667
17167,3.5909394392,4.35179659796667
18043,2.972145635,3.62791635
18043,2.972145635,3.62791635
18089,0,0
18097,65.4038123558,86.9898512833
18125,10.858012725,10.02872226
18125,10.858012725,10.02872226
18125,10.858012725,10.02872226
18125,10.858012725,10.02872226
18125,10.858012725,10.02872226
18125,10.858012725,10.02872226
18127,192.45063151025,145.61739607358
18129,5.60200079325,7.13083423325
18129,5.60200079325,7.13083423325
18173,0,0
18173,0,0
18173,0,0
19005,3.99678134,5.7488318
20055,9.23993742064,6.82184365311
21111,11.700784377552,10.668201719516
21111,11.700784377552,10.668201719516
21111,11.700784377552,10.668201719516
21111,11.700784377552,10.668201719516
21111,11.700784377552,10.668201719516
21161,0,0
21183,8.43687,17.4512629
22031,9.83333240351,150.48491001591
24001,5.26971681,3.872168016
24001,5.26971681,3.872168016
24031,5.183527703269,6.11685113435333
24031,5.183527703269,6.11685113435333
24031,5.183527703269,6.11685113435333
26045,2.24994306,3.3884736
26065,1.171875,1.76322695
26065,1.171875,1.76322695
27053,0.3186091956679,0.2515566808578
27123,0.3857415597,0.2481202097
28151,0.330739213,0.2127411
29093,0,0
29099,0,0
29175,15.805341907,16.97909971
32003,0,0
34033,4.1858928709,3.08272718705
35017,0,0
35031,4.9246725,8.7153538
36061,0,0
36061,0,0
36063,30.31107039,33.38959812
36087,0,0
36103,2.71180344956475,1.591032047727
36103,2.71180344956475,1.591032047727
36103,2.71180344956475,1.591032047727
36103,2.71180344956475,1.591032047727
38057,0,0
38057,0,0
38065,10.986434882,216.56763977
39017,21.71899203914,14.191421830977
39025,0,0
42007,64.752166235,55.1839458415
42007,64.752166235,55.1839458415
42073,2.51247266,2.8648883
45015,0,0
45015,0,0
45075,22.73327901632,39.460256899558
45079,85.006756604364,67.302077653481
48185,8.4894416,11.9920974
48201,0,0
48203,9.9634754,161.644849428
49015,0,0
49015,0,0
49015,0,0
49047,22.1975501,26.586193
55079,26.9596534927405,23.4475366969495
55079,26.9596534927405,23.4475366969495
56005,48.735124466,35.795317732
56009,28.959482,21.3812987
56023,23.90674945,20.4925134
56037,34.2171960015,31.29765786419
