"V1","V2","V3","V4","V5"
"2025ef_ghg-1S_v6_11g","NH3","lowstack","-53409739.0694366","-894.21407056"
"2025ef_ghg-1S_v6_11g","NOX","lowstack","-1288835739.13065","-59124.6034672"
"2025ef_ghg-1S_v6_11g","SO2","lowstack","-2004655562.8075","-40336.55719511"
"2025ef_ghg-1S_v6_11g","PM25","lowstack","-1134770434.8932","-10212.56252142"
"2025ef_ghg-1S_v6_11g","NH3","medstack","-37992263.1160959","230.89388735"
"2025ef_ghg-1S_v6_11g","NOX","medstack","-1050131412.2624","-78289.73580228"
"2025ef_ghg-1S_v6_11g","SO2","medstack","-2288257308.83293","-60488.84825248"
"2025ef_ghg-1S_v6_11g","PM25","medstack","-758040616.418237","-10095.76084277"
"2025ef_ghg-1S_v6_11g","NH3","tallstack","-58831145.7932314","-2575.58596564"
"2025ef_ghg-1S_v6_11g","NOX","tallstack","-3066988495.75541","-248392.84436395"
"2025ef_ghg-1S_v6_11g","SO2","tallstack","-9541124682.36787","-292679.75857401"
"2025ef_ghg-1S_v6_11g","PM25","tallstack","-1833532042.12684","-37671.364585501"
"2025ef_ghg-1S_v6_11g","NH3","newtallstack","-1868076.76985765","-79.469454"
"2025ef_ghg-1S_v6_11g","NOX","newtallstack","-357611885.208712","-28672.38157047"
"2025ef_ghg-1S_v6_11g","SO2","newtallstack","-667231248.905653","-29164.9906"
"2025ef_ghg-1S_v6_11g","PM25","newtallstack","-198162494.292086","-4230.5120029"
